PERSON_ID,DISPLAY_FIRST_LAST,BIRTHDATE,AGE,JERSEY,TEAM_NAME,POSITION,DRAFT_NUMBER,DRAFT_YEAR,TEAM_CONFERENCE,HEADSHOT
203855,Stephanie Talbot,15/06/1994,31,6,Liberty,Forward,33,2014,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/203855.png
203822,Rebekah Gardner,09/07/1990,35,7,Liberty,Guard,Undrafted,Undrafted,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/203822.png
1631055,Nyara Sabally,26/02/2000,26,8,Liberty,Center,5,2022,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1631055.png
204333,Natasha Cloud,22/02/1992,34,9,Liberty,Guard,15,2015,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/204333.png
1630142,Leonie Fiebich,10/01/2000,26,13,Liberty,Forward,22,2020,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1630142.png
1629477,Sabrina Ionescu,06/12/1997,28,20,Liberty,Guard,1,2020,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1629477.png
204330,Isabelle Harrison,27/09/1993,32,21,Liberty,Forward,12,2015,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/204330.png
1629568,Kennedy Burke,14/02/1997,29,22,Liberty,Guard-Forward,22,2019,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1629568.png
1629546,Marine Johannes,21/01/1995,31,23,Liberty,Guard,Undrafted,Undrafted,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1629546.png
1627668,Breanna Stewart,27/08/1994,31,30,Liberty,Forward,1,2016,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1627668.png
203416,Emma Meesseman,13/05/1993,32,33,Liberty,Forward,19,2013,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/203416.png
1627673,Jonquel Jones,05/01/1994,32,35,Liberty,Center,6,2016,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1627673.png
1630149,Satou Sabally,25/04/1998,27,0,Mercury,Forward,2,2020,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1630149.png
1631118,Lexi Held,28/12/1999,26,1,Mercury,Guard,Undrafted,Undrafted,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1631118.png
1627674,Kahleah Copper,28/08/1994,31,2,Mercury,Guard-Forward,7,2016,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1627674.png
1630442,Natasha Mack,03/11/1997,28,4,Mercury,Forward-Center,16,2021,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1630442.png
1642777,Monique Akoa Makani,04/02/2001,25,8,Mercury,Guard,Undrafted,Undrafted,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1642777.png
1629490,Kitija Laksa,21/05/1996,29,9,Mercury,Guard,11,2020,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1629490.png
201886,DeWanna Bonner,21/08/1987,38,14,Mercury,Guard-Forward,5,2009,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/201886.png
1629480,Kalani Brown,21/03/1997,29,21,Mercury,Center,7,2019,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1629480.png
1630461,Kiana Williams,09/04/1999,26,23,Mercury,Guard,18,2021,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1630461.png
1628957,Kathryn Westbeld,29/01/1996,30,24,Mercury,Forward,Undrafted,Undrafted,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1628957.png
203826,Alyssa Thomas,12/04/1992,33,25,Mercury,Forward,4,2014,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/203826.png
1628244,Sami Whitcomb,20/07/1988,37,33,Mercury,Guard,Undrafted,Undrafted,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1628244.png
1629498,Jackie Young,16/09/1997,28,0,Aces,Guard,1,2019,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1629498.png
1631006,Kierstan Bell,16/03/2000,26,1,Aces,Forward,11,2022,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1631006.png
1631019,NaLyssa Smith,08/08/2000,25,3,Aces,Forward,2,2022,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1631019.png
1630389,Dana Evans,01/08/1998,27,11,Aces,Guard,13,2021,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1630389.png
203833,Chelsea Gray,08/10/1992,33,12,Aces,Guard,11,2014,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/203833.png
1642801,Aaliyah Nye,14/08/2002,23,13,Aces,Guard-Forward,13,2025,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1642801.png
1629484,Megan Gustafson,13/12/1996,29,17,Aces,Center,17,2019,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1629484.png
1628932,A'ja Wilson,08/08/1996,29,22,Aces,Center,1,2018,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1628932.png
204319,Jewell Loyd,05/10/1993,32,24,Aces,Guard,1,2015,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/204319.png
204323,Cheyenne Parker-Tyus,22/08/1992,33,32,Aces,Forward,5,2015,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/204323.png
204329,Kiah Stokes,30/03/1993,32,41,Aces,Center,11,2015,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/204329.png
1642790,Sania Feagin,15/03/2003,23,1,Sparks,Forward,21,2025,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1642790.png
1642288,Rickea Jackson,16/03/2001,25,2,Sparks,Forward,4,2024,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1642288.png
204324,Dearica Hamby,06/11/1993,32,5,Sparks,Forward,6,2015,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/204324.png
1628276,Kelsey Plum,24/08/1994,31,10,Sparks,Guard,1,2017,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1628276.png
1630996,Rae Burrell,21/06/2000,25,12,Sparks,Guard-Forward,9,2022,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1630996.png
1642782,Sarah Ashlee Barker,10/09/2001,24,13,Sparks,Guard,9,2025,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1642782.png
1627700,Julie Allemand,07/07/1996,29,20,Sparks,Guard,33,2016,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1627700.png
1642287,Cameron Brink,31/12/2001,24,22,Sparks,Forward,2,2024,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1642287.png
1628922,Azura Stevens,01/02/1996,30,23,Sparks,Forward-Center,6,2018,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1628922.png
1642293,Alissa Pili,08/06/2001,24,24,Sparks,Forward,8,2024,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1642293.png
1628242,Emma Cannon,01/06/1989,36,32,Sparks,Forward,Undrafted,Undrafted,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1628242.png
1642210,Julie Vanloo,10/02/1993,33,35,Sparks,Guard,Undrafted,Undrafted,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1642210.png
1629539,Amy Okonkwo,26/08/1996,29,0,Wings,Forward,Undrafted,Undrafted,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1629539.png
1641649,Diamond Miller,11/02/2001,25,1,Wings,Forward,2,2023,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1641649.png
1628899,Myisha Hines-Allen,30/05/1995,30,2,Wings,Forward,19,2018,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1628899.png
1642784,Paige Bueckers,20/10/2001,24,5,Wings,Guard,1,2025,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1642784.png
1642828,Ajae Petty,04/09/2002,23,5,Wings,Center,Undrafted,Undrafted,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1642828.png
1641658,Grace Berger,03/06/1999,26,9,Wings,Guard,7,2023,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1641658.png
1642793,Aziaha James,19/11/2002,23,10,Wings,Guard,12,2025,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1642793.png
1642808,JJ Quinerly,24/10/2002,23,11,Wings,Guard,27,2025,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1642808.png
1630143,Luisa Geiselsoder,10/02/2000,26,18,Wings,Center,21,2020,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1630143.png
1641652,Maddy Siegrist,22/05/2000,25,20,Wings,Forward,3,2023,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1641652.png
1629481,Arike Ogunbowale,02/03/1997,29,24,Wings,Guard,5,2019,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1629481.png
1629574,Li Yueru,28/03/1999,26,28,Wings,Center,35,2019,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1629574.png
1641650,Haley Jones,23/05/2001,24,30,Wings,Forward-Guard,6,2023,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1641650.png
1631090,Christyn Williams,20/05/2000,25,31,Wings,Guard,14,2022,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1631090.png
1630112,Tyasha Harris,01/05/1998,27,52,Wings,Guard,7,2020,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1630112.png
1631022,Shakira Austin,25/07/2000,25,0,Mystics,Forward-Center,3,2022,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1631022.png
1630134,Sug Sutton,17/12/1998,27,1,Mystics,Guard,36,2020,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1630134.png
1642292,Jacy Sheldon,23/08/2000,25,4,Mystics,Guard,5,2024,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1642292.png
1631141,Jade Melbourne,18/08/2002,23,5,Mystics,Guard,33,2022,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1631141.png
1642810,Madison Scott,27/12/2001,24,6,Mystics,Guard-Forward,14,2025,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1642810.png
1642781,Georgia Amoore,03/04/2001,24,8,Mystics,Guard,6,2025,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1642781.png
1631083,Emily Engstler,01/05/2000,25,21,Mystics,Forward,4,2022,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1631083.png
1642785,Sonia Citron,22/10/2003,22,22,Mystics,Guard,3,2025,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1642785.png
203828,Stefanie Dolson,08/01/1992,34,31,Mystics,Center,6,2014,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/203828.png
202252,Alysha Clark,07/07/1987,38,32,Mystics,Forward,17,2010,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/202252.png
1642802,Lucy Olsen,26/05/2003,22,33,Mystics,Guard,23,2025,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1642802.png
1642792,Kiki Iriafen,26/08/2003,22,44,Mystics,Forward,4,2025,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1642792.png
1629497,Marina Mabrey,14/09/1996,29,3,Sun,Guard,19,2019,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1629497.png
203863,Haley Peters,17/09/1992,33,7,Sun,Forward-Guard,Undrafted,Undrafted,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/203863.png
1631135,Olivia Nelson-Ododa,17/08/2000,25,10,Sun,Center,19,2022,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1631135.png
1642796,Rayah Marshall,15/11/2003,22,13,Sun,Center-Forward,25,2025,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1642796.png
203829,Bria Hartley,30/09/1992,33,14,Sun,Guard,7,2014,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/203829.png
1628263,Lindsay Allen,20/03/1995,31,15,Sun,Guard,14,2017,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1628263.png
1642809,Saniya Rivers,04/03/2003,23,22,Sun,Guard,8,2025,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1642809.png
1642800,Aneesah Morrow,02/02/2003,23,24,Sun,Forward,7,2025,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1642800.png
1642290,Aaliyah Edwards,09/07/2002,23,24,Sun,Forward,6,2024,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1642290.png
1642841,Mamignan Toure,19/12/1994,31,28,Sun,Guard,Undrafted,Undrafted,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1642841.png
202250,Tina Charles,05/12/1988,37,31,Sun,Center,1,2010,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/202250.png
1642303,Leila Lacan,02/06/2004,21,47,Sun,Guard,10,2024,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1642303.png
1642320,Jaylyn Sherrod,21/10/2001,24,00,Lynx,Guard,Undrafted,Undrafted,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1642320.png
1629567,Natisha Hiedeman,10/02/1997,29,2,Lynx,Guard,18,2019,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1629567.png
1630096,DiJonai Carrington,08/01/1998,28,3,Lynx,Guard-Forward,20,2021,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1630096.png
1629524,Bridget Carleton,22/05/1997,28,6,Lynx,Forward,21,2019,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1629524.png
1642797,Anastasiia Olairi Kosu,21/04/2005,20,7,Lynx,Forward,15,2025,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1642797.png
1629501,Alanna Smith,10/09/1996,29,8,Lynx,Forward,8,2019,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1629501.png
1627675,Courtney Williams,11/05/1994,31,10,Lynx,Guard,8,2016,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1627675.png
1629491,Jessica Shepard,11/09/1996,29,15,Lynx,Forward,16,2019,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1629491.png
1642344,Camryn Taylor,15/03/2000,26,20,Lynx,Forward,Undrafted,Undrafted,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1642344.png
203825,Kayla McBride,25/06/1992,33,21,Lynx,Guard,3,2014,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/203825.png
1629483,Napheesa Collier,23/09/1996,29,24,Lynx,Forward,6,2019,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1629483.png
1628926,Maria Kliundikova,16/07/1998,27,77,Lynx,Forward,11,2018,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1628926.png
1628909,Kelsey Mitchell,12/11/1995,30,0,Fever,Guard,2,2018,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1628909.png
203824,Odyssey Sims,13/07/1992,33,1,Fever,Guard,2,2014,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/203824.png
1630462,Aari McDonald,20/08/1998,27,2,Fever,Guard,3,2021,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1630462.png
1642788,Bree Hall,28/06/2003,22,3,Fever,Guard,20,2025,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1642788.png
203035,Shey Peddy,28/10/1988,37,5,Fever,Guard,23,2012,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/203035.png
203827,Natasha Howard,02/09/1991,34,6,Fever,Forward,5,2014,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/203827.png
1641648,Aliyah Boston,11/12/2001,24,7,Fever,Center-Forward,1,2023,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1641648.png
1629482,Sophie Cunningham,16/08/1996,29,8,Fever,Guard,13,2019,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1629482.png
1631086,Lexie Hull,13/09/1999,26,10,Fever,Guard,6,2022,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1631086.png
1629488,Brianna Turner,05/07/1996,29,11,Fever,Forward-Center,11,2019,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1629488.png
203024,Damiris Dantas,17/11/1992,33,12,Fever,Center-Forward,12,2012,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/203024.png
1642815,Makayla Timpson,20/09/2002,23,21,Fever,Forward-Center,19,2025,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1642815.png
1642286,Caitlin Clark,22/01/2002,24,22,Fever,Guard,1,2024,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1642286.png
1627672,Aerial Powers,17/01/1994,32,23,Fever,Guard,5,2016,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1627672.png
202641,Sydney Colson,06/08/1989,36,51,Fever,Guard,16,2011,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/202641.png
1631064,Chloe Bibby,15/06/1998,27,55,Fever,Forward,Undrafted,Undrafted,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1631064.png
203014,Nneka Ogwumike,02/07/1990,35,3,Storm,Forward,1,2012,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/203014.png
203400,Skylar Diggins,02/08/1990,35,4,Storm,Guard,3,2013,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/203400.png
1628931,Gabby Williams,09/09/1996,29,5,Storm,Forward,4,2018,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1628931.png
1641660,Zia Cooke,09/01/2001,25,7,Storm,Guard,10,2023,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1641660.png
1628882,Lexie Brown,27/10/1994,31,8,Storm,Guard,9,2018,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1628882.png
1629496,Ezi Magbegor,13/08/1999,26,13,Storm,Forward-Center,12,2019,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1629496.png
1642798,Dominique Malonga,16/11/2005,20,14,Storm,Center,2,2025,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1642798.png
204365,Erica Wheeler,02/05/1991,34,17,Storm,Guard,Undrafted,Undrafted,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/204365.png
1628279,Brittney Sykes,07/02/1994,32,20,Storm,Guard,7,2017,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1628279.png
1627676,Tiffany Mitchell,23/09/1994,31,25,Storm,Guard,9,2016,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1627676.png
1629478,Katie Lou Samuelson,13/06/1997,28,33,Storm,Forward,4,2019,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1629478.png
1642307,Mackenzie Holmes,01/11/2000,25,54,Storm,Forward,26,2024,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1642307.png
204322,Elizabeth Williams,23/06/1993,32,1,Sky,Center-Forward,4,2015,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/204322.png
1642817,Hailey Van Lith,09/09/2001,24,2,Sky,Guard,11,2025,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1642817.png
1642291,Angel Reese,06/05/2002,23,5,Sky,Forward,7,2024,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1642291.png
1628878,Ariel Atkins,30/07/1996,29,7,Sky,Guard,7,2018,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1628878.png
204296,Rebecca Allen,06/11/1992,33,9,Sky,Forward-Guard,Undrafted,Undrafted,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/204296.png
1642244,Sevgi Uzun,25/11/1997,28,10,Sky,Guard,Undrafted,Undrafted,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1642244.png
1642289,Kamilla Cardoso,30/04/2001,24,10,Sky,Center,3,2024,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1642289.png
1628915,Kia Nurse,22/02/1996,30,11,Sky,Guard,10,2018,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1628915.png
1630446,Michaela Onyenwere,10/08/1999,26,12,Sky,Forward,6,2021,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1630446.png
1642818,Maddy Westbeld,10/02/2002,24,21,Sky,Forward,16,2025,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1642818.png
202664,Courtney Vandersloot,08/02/1989,37,22,Sky,Guard,3,2011,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/202664.png
1627671,Rachel Banham,15/07/1993,32,24,Sky,Guard,4,2016,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1627671.png
1631044,Naz Hillmon,05/04/2000,25,00,Dream,Forward,15,2022,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1631044.png
1642804,Te-Hina Paopao,21/08/2002,23,2,Dream,Guard,18,2025,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1642804.png
1628886,Jordin Canada,11/08/1995,30,3,Dream,Guard,5,2018,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1628886.png
1642814,Taylor Thierry,08/01/2003,23,5,Dream,Guard-Forward,36,2025,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1642814.png
1631009,Rhyne Howard,29/04/2000,25,10,Dream,Guard,1,2022,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1631009.png
1628269,Nia Coffey,11/06/1995,30,12,Dream,Forward,5,2017,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1628269.png
1628277,Allisha Gray,12/01/1995,31,15,Dream,Guard,4,2017,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1628277.png
1631021,Sika Kone,13/07/2002,23,23,Dream,Forward,29,2022,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1631021.png
1628280,Brionna Jones,18/12/1995,30,24,Dream,Forward,8,2017,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1628280.png
1628278,Shatori Walker-Kimbrough,18/05/1995,30,32,Dream,Guard,6,2017,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1628278.png
1630471,Maya Caldwell,15/12/1998,27,33,Dream,Guard,33,2021,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1630471.png
203398,Brittney Griner,18/10/1990,35,42,Dream,Center,1,2013,East,https://cdn.wnba.com/headshots/wnba/latest/1040x760/203398.png
1642304,Carla Leite,16/04/2004,21,0,Valkyries,Guard,9,2024,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1642304.png
1642822,Kaitlyn Chen,22/02/2002,24,2,Valkyries,Guard,30,2025,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1642822.png
1641656,Laeticia Amihere,10/07/2001,24,3,Valkyries,Forward,8,2023,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1641656.png
203866,Kayla Thornton,20/10/1992,33,5,Valkyries,Forward,Undrafted,Undrafted,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/203866.png
1630097,Kaila Charles,23/03/1998,27,6,Valkyries,Guard-Forward,23,2020,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1630097.png
1630387,Iliana Rupert,12/07/2001,24,12,Valkyries,Center,12,2021,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1630387.png
1642767,Janelle Salaun,05/09/2001,24,13,Valkyries,Forward,Undrafted,Undrafted,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1642767.png
1627701,Temi Fagbenle,08/09/1992,33,14,Valkyries,Center,35,2016,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1627701.png
203026,Tiffany Hayes,20/09/1989,36,15,Valkyries,Guard,14,2012,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/203026.png
1642324,Kate Martin,05/06/2000,25,20,Valkyries,Guard,18,2024,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1642324.png
1631007,Veronica Burton,12/07/2000,25,22,Valkyries,Guard,7,2022,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1631007.png
1628508,Cecilia Zandalasini,16/03/1996,30,24,Valkyries,Forward,Undrafted,Undrafted,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1628508.png
1628881,Monique Billings,02/05/1996,29,25,Valkyries,Forward,15,2018,West,https://cdn.wnba.com/headshots/wnba/latest/1040x760/1628881.png
